Breed Name,Description,Dog Size,Dog Breed Group,Height,"Avg. Height, cm",Weight,"Avg. Weight, kg",Life Span,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
Chiweenie,"Chiweenies are a mix of Chihuahuas and Dachshunds, combining the breeds' small size and spirited personality. They are playful and affectionate dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,6 to 10 inches,20.32,5 to 12 pounds,3.82,12 to 16 years,14,3,5,3,4,2,1,4,3,4,2,3,2,2.8,1,1,5,3,4,1,3.2,2,4,2,3,5,2,3.33,4,2,4,5
Chorkie,"Chorkies are a mix of Chihuahuas and Yorkshire Terriers, combining the breeds' small size and lively temperament. They are playful and affectionate dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,6 to 9 inches ,19.05,8 to 15 pounds ,5.18,12 to 15 years ,14,3.4,5,5,5,1,1,2,3.33,4,3,3,2,2.2,2,1,3,3,2,1,2.8,3,3,2,2,4,2,3.33,4,3,3,5
Chow Chow,"Chow Chows are distinctive dogs known for their lion-like mane and aloof demeanor. They are loyal and independent companions, often forming strong bonds with their families.
",Very Large,Working Dogs,17 to 20 inches tall at the shoulder,46.99,40 to 70 pounds,24.75,12 to 15 years,14,3.4,3,2,2,5,5,2,1.33,2,1,1,1,2.2,1,3,1,2,4,4,2.2,2,1,5,2,1,2,2,2,2,2,1
Chow Shepherd,"Chow Shepherds are a mix of Chow Chows and German Shepherds, combining the breeds' loyalty and protective instincts. They are intelligent and devoted dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,22 to 26 inches,60.96,45 to 90 pounds ,30.38,12 to 15 years ,14,3.2,3,2,4,2,5,4,2.67,3,3,2,2,2.6,5,2,1,3,2,4,2.8,3,3,3,3,2,3,4.67,5,4,5,4
Chug,"Chugs are a mix of Chihuahuas and Pugs, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,10 to 14 inches,30.48,10 to 20 pounds,6.75,10 to 13,12,3.2,5,3,3,3,2,3,4,5,4,3,3,3.6,4,2,4,4,4,1,2.6,3,3,3,2,2,2,3.33,4,3,3,4
Chusky,"Chuskies are a mix of Chow Chows and Siberian Huskies, combining the breeds' intelligence and energetic nature. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,18 to 23 inches,52.07,40 to 65 pounds,23.62,10 to 13 years,12,3,2,2,3,3,5,2,3.67,4,4,3,3,3,5,2,2,3,3,3,3.4,3,4,3,3,4,2,3.67,4,3,4,4
Cirneco dellâ€™Etna,"Cirnechi dell'Etna are ancient Sicilian hunting dogs known for their elegant appearance and independent temperament. They are intelligent and athletic companions, often forming strong bonds with their families.
",Medium,Companion Dogs,17 to 20 inches,46.99,17 to 26 pounds,9.68,12 to 14 years,13,3.2,4,3,3,3,3,3,4.67,5,5,4,3,2.8,2,1,4,5,2,3,3,3,3,2,4,3,1,3,4,2,3,4
Clumber Spaniel,"Clumber Spaniels are large and gentle dogs known for their distinctive appearance and affectionate nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,17 inches to 20 inches tall at the shoulder,46.99,55 to 85 pounds,31.5,12 to 12 years,12,4.2,5,5,4,2,5,2,4,5,3,4,3,3.6,5,5,1,2,5,3,3.6,4,3,5,5,1,4,2,3,1,2,5
Cockalier,"Cockaliers are a mix of Cocker Spaniels and Cavalier King Charles Spaniels, combining the breeds' affectionate nature and friendly demeanor. They are playful and sociable dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,12 to 15 inches,34.29,10 to 28 pounds,8.55,12 to 15 years,14,3.2,4,4,4,2,2,2,4.67,5,5,4,3,2.8,2,1,4,4,3,2,3,4,4,2,3,2,2,3.33,4,2,4,5
Cockapoo,"Cockapoos are a mix of Cocker Spaniels and Poodles, combining the breeds' intelligence and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Hybrid Dogs,From under 10 to over 15 inches tall at the shoulder,31.75,From under 6 to over 19 pounds,5.62,12 to 15 years,14,4,4,5,4,3,4,4,4.67,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,3,3,3,3,5
Cocker Spaniel,"Cocker Spaniels are medium-sized dogs known for their long, silky coat and gentle temperament. They are affectionate and playful companions, often forming strong bonds with their families.
",Large,Sporting Dogs,14 inches to 15 inches tall at the shoulder,36.83,24 to 28 pounds,11.7,12 to 15 years,14,3.6,5,3,5,1,4,3,4,5,3,4,3,2.6,3,1,1,4,4,2,4.2,5,4,4,5,3,4,3,4,2,3,4
Collie,"Collies are intelligent and loyal herding dogs known for their striking appearance and friendly demeanor. They are devoted companions, often forming strong bonds with their families.
",Very Large,Herding Dogs,22 to 26 inches all at the shoulder,60.96,50 to 70 pounds,27,10 to 14 years,12,3.6,3,4,5,2,4,3,4.67,5,5,4,4,2.8,5,1,2,3,3,3,3.8,4,4,3,4,4,1,2.67,3,2,3,4
Corgi Inu,"Corgi Inus are a mix of Welsh Corgis and Shiba Inus, combining the breeds' small size and spirited personality. They are playful and independent dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,9 to 15 inches,30.48,17 to 27 pounds,9.9,12 to 15 years,14,3.4,4,3,3,3,4,2,3,3,3,3,2,3,5,2,2,3,3,2,3.4,4,4,3,3,3,2,3.67,4,3,4,4
Corgidor,"Corgidors are a mix of Welsh Corgis and Labrador Retrievers, combining the breeds' intelligence and friendly demeanor. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,12 to 23 inches ,44.45,40 to 55 pounds ,21.38,10 to 15 years ,12,3,3,2,4,3,3,3,4,5,4,3,4,3.8,5,2,4,4,4,3,3.4,4,5,3,3,2,3,4,5,3,4,5
Corman Shepherd,"Corman Shepherds are a mix of Welsh Corgis and German Shepherds, combining the breeds' intelligence and loyalty. They are energetic and devoted dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,12 to 15 inches,34.29,20 to 70 pounds,20.25,10 to 15 years,12,2.8,2,2,3,3,4,3,4,4,4,4,3,3.4,5,2,3,3,4,3,3.6,4,5,3,3,3,2,3.67,4,3,4,4
Coton de Tulear,"Cotons de Tulear are small and affectionate dogs known for their fluffy white coat and lively personality. They are playful and sociable companions, often forming strong bonds with their families.
",Small,Companion Dogs,8 to 12 inches tall at the shoulder,25.4,8 to 13 pounds,4.73,Starts at 14 years,14,3.6,5,4,5,1,3,3,5,5,5,5,5,2.4,1,1,2,5,3,1,2.6,3,4,3,1,2,3,2.67,3,2,3,5
Croatian Sheepdog,"Croatian Sheepdogs are intelligent and energetic herding dogs known for their agility and versatility. They are loyal and devoted companions, often forming strong bonds with their families.
",Large,Herding Dogs,16 to 21 inches,46.99,29 to 45 pounds,16.65,12 to 14 years,13,3,3,2,3,3,4,2,3,4,3,2,2,3.4,5,3,2,4,3,3,3.6,3,4,4,3,4,3,4,4,4,4,4
Curly-Coated Retriever,"Curly-Coated Retrievers are distinctive dogs known for their tight curls and outgoing personality. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,23 inches to 27 inches tall at the shoulder,63.5,65 to 100 pounds,37.12,9 to 12 years,10,2.8,1,3,3,3,4,4,4.67,5,5,4,3,2.6,3,2,3,2,3,3,4.4,4,5,5,5,3,4,4,5,3,4,5
Dachsador,"Dachsadors are a mix of Dachshunds and Labrador Retrievers, combining the breeds' intelligence and loyalty. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Large,Mixed Breed Dogs,15 to 25 inches,50.8,30 to 40 pounds,15.75,12 to 14 years,13,2.8,4,2,3,2,3,3,3.67,4,4,3,4,3,2,1,4,4,4,2,3,3,4,2,4,2,4,3.67,4,3,4,4
Dachshund,"Dachshunds are small but spirited dogs known for their distinctive long body and short legs. They are playful and courageous companions, often forming strong bonds with their families.
",Medium,Hound Dogs,8 inches to 9 inches tall at the shoulder,21.59,16 to 32 pounds,10.8,12 to 15 years,14,3.4,5,4,4,3,1,3,4,4,5,3,1,2.8,3,1,3,2,5,1,4,2,4,4,5,5,5,3,3,3,3,4
Dalmatian,"Dalmatians are distinctive dogs known for their spotted coat and energetic nature. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Companion Dogs,19 to 24 inches tall at the shoulder,54.61,48 to 55 pounds,23.18,13 to 16 years,14,3,2,3,4,3,3,4,4.33,5,4,4,3,3.8,5,1,5,4,4,3,2.8,4,4,2,2,2,4,4.67,5,4,5,4
Dandie Dinmont Terrier,"Dandie Dinmont Terriers are small and dignified dogs known for their distinctive topknot and affectionate nature. They are intelligent and loyal companions, often forming strong bonds with their families.
",Medium,Terrier Dogs,8 to 11 inches tall at the shoulder,24.13,18 to 24 pounds,9.45,12 to 15 years,14,3.2,4,4,3,2,3,3,4,5,4,3,3,2.6,3,1,2,3,4,1,2.8,2,3,3,4,2,3,2.67,3,3,2,4
Daniff,"Daniffs are a mix of Great Danes and Mastiffs, combining the breeds' size and gentle nature. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,27 to 33 inches,76.2,115 to 190 pounds,68.62,8 to 12 years,10,2.4,2,2,3,1,4,3,4.33,5,4,4,3,2.6,2,4,1,3,3,5,2.6,4,4,2,2,1,2,3.67,3,4,4,4
Danish-Swedish Farmdog,"Danish-Swedish Farmdogs are small and energetic dogs known for their friendly demeanor and versatility. They are intelligent and loyal companions, often forming strong bonds with their families.
",Medium,Working Dogs,12 to 15 inches,34.29,15 to 20 pounds,7.88,11 to 13 years,12,3.2,3,2,3,4,4,4,5,5,5,5,3,3.6,5,1,4,5,3,2,4,5,4,2,5,4,1,4,4,3,5,4
Deutscher Wachtelhund,"Deutscher Wachtelhunds are versatile German hunting dogs known for their keen sense of smell and determination. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,18 to 21 inches,49.53,40 to 55 pounds,21.38,12 to 14 years,13,2.8,3,3,2,2,4,3,4.33,5,4,4,3,3,3,2,3,5,2,4,3.6,4,4,3,4,3,2,3.67,4,3,4,4
Doberdor,"Doberdors are a mix of Doberman Pinschers and Labrador Retrievers, combining the breeds' intelligence and loyalty. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,60 to 100 pounds,36,10 to 14 years,12,1.8,1,1,3,2,2,4,3,3,3,3,1,3,1,2,4,4,4,5,3.2,1,4,3,4,4,4,4.67,5,4,5,4
Doberman Pinscher,"Doberman Pinschers are powerful and loyal dogs known for their sleek appearance and protective nature. They are intelligent and courageous companions, often forming strong bonds with their families.
",Very Large,Working Dogs,24 to 28 inches tall at the shoulder,66.04,60 to 80 pounds,31.5,10 to 13 years,12,2.8,3,3,5,2,1,4,3,5,3,1,3,3.4,4,4,5,1,3,4,2.8,5,5,2,1,1,2,3,3,3,3,5
Docker,"Dockers are a mix of Dachshunds and Cocker Spaniels, combining the breeds' intelligence and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Large,Mixed Breed Dogs,9 to 15 inches ,30.48,20 to 30 Pounds ,11.25,12 to 14 Years,13,2.8,3,2,4,2,3,3,3.67,5,3,3,2,2.8,3,2,3,3,3,2,4.2,3,4,5,5,4,5,3,3,3,3,4
Dogo Argentino,"Dogo Argentinos are large and muscular dogs known for their white coat and strong prey drive. They are loyal and protective companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,23 to 27 inches,63.5,80 to 100 pounds,40.5,9 to 15 years,12,1.8,1,1,3,2,2,4,2.67,4,2,2,2,2.6,1,3,4,3,2,4,2.8,2,3,2,5,2,4,4,4,4,4,3
Dogue de Bordeaux,"Dogue de Bordeauxs are powerful and imposing dogs known for their wrinkled face and gentle nature. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Working Dogs,23 to 27 inches tall at the shoulder,63.5,Starts at 100 pounds,45,8 to 12 years,10,3,5,1,4,2,3,2,3.67,5,5,1,1,3.8,3,5,5,2,4,4,3,2,3,4,4,2,1,3,2,2,5,3
Dorgi,"Dorgis are a mix of Dachshunds and Pembroke Welsh Corgis, combining the breeds' small size and spirited personality. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,9 to12 inches,26.67,15 to 28 pounds,9.68,12 to 15 years,14,3.2,4,4,3,1,4,3,4,4,4,4,3,3.2,2,2,4,4,4,2,3.4,3,4,4,3,3,3,4,4,4,4,5
Dorkie,"Dorkies are a mix of Dachshunds and Yorkshire Terriers, combining the breeds' small size and lively temperament. They are playful and affectionate dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,5 to 10 inches,19.05,5 to 12 pounds,3.82,13 to 16 years,14,3.4,5,4,4,2,2,2,4,4,4,4,4,2,3,1,2,2,2,1,2.8,3,4,2,3,2,2,2,2,2,2,3
Doxiepoo,"Doxiepoos are a mix of Dachshunds and Poodles, combining the breeds' intelligence and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,8 to 23 inches,39.37,5 to 30 pounds,7.88,10 to 15 years,12,3.4,5,3,4,2,3,3,2.67,5,2,1,3,3,3,,3,2,4,2,4,3,5,3,4,5,4,4,4,4,4,5
Doxle,"Doxles are a mix of Dachshunds and Beagles, combining the breeds' small size and spirited personality. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,5 to 15 inches,25.4,11 to 30 pounds,9.22,12 to 14 years,13,2.6,2,4,4,1,2,4,4.67,5,4,5,4,3.6,5,1,4,4,4,2,4,3,4,3,5,5,5,4.67,5,4,5,5
Drentsche Patrijshond,"Drentsche Patrijshonds are Dutch hunting dogs known for their intelligence and versatility. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Working Dogs,21 to 25 inches,58.42,40 to 60 pounds,22.5,11 to 14 years old,12,3.2,3,2,4,3,4,3,4.33,5,4,4,3,3.2,4,3,3,4,2,3,3,2,4,3,4,2,1,4,5,3,4,4
Drever,"Drevers are Swedish scent hounds known for their short legs and keen sense of smell. They are energetic and determined dogs, often used for hunting and as family pets.
",Large,Hound Dogs,12 to 16 inches,35.56,35 to 40 pounds,16.88,12 to 15 years,14,2.6,4,3,2,2,2,3,4.67,5,5,4,3,3.2,3,2,3,5,3,3,3.6,3,4,4,3,4,2,4,5,3,4,4
Dutch Shepherd,"Dutch Shepherds are versatile herding dogs known for their intelligence and agility. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Herding Dogs,21 to 25 inches,58.42,50 to 70 pounds,27,12 to 15 years,14,3,3,3,3,2,4,4,4,4,4,4,2,3,4,2,3,4,2,3,3.2,5,4,2,3,2,2,3.67,4,3,4,4
English Cocker Spaniel,"Dutch Shepherds are versatile herding dogs known for their intelligence and agility. They are loyal and devoted companions, often forming strong bonds with their families.
",Large,Sporting Dogs,15 inches to 17 inches tall at the shoulder,40.64,26 to 34 pounds,13.5,12 to 14 years,13,3.8,5,4,5,1,4,3,5,5,5,5,5,3.2,3,1,3,4,5,2,4.2,4,5,3,5,4,4,4,5,3,4,5
English Foxhound,"English Foxhounds are elegant hunting dogs known for their keen sense of smell and determination. They are intelligent and independent companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,25 to 27 inches tall at the shoulder,66.04,55 to 75 pounds,29.25,10 to 13 years,12,2.6,1,2,3,4,3,3,4.33,4,4,5,3,3,3,1,5,4,2,3,3.8,3,3,4,5,4,5,4.67,5,4,5,5
English Setter,"English Setters are elegant and athletic dogs known for their distinctive feathered coat and friendly demeanor. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,23 inches to 27 inches tall at the shoulder,63.5,45 to 80 pounds,28.12,11 to 15 years,13,2.6,1,3,4,1,4,3,5,5,5,5,5,3.2,3,2,3,3,5,3,4.2,3,5,4,5,4,5,3.67,4,2,5,5
English Springer Spaniel,"English Springer Spaniels are energetic and affectionate dogs known for their boundless energy and friendly personality. They are intelligent and loyal companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,18 inches to 22 inches tall at the shoulder,50.8,45 to 55 pounds,22.5,9 to 15 years,12,2.4,1,3,4,1,3,4,5,5,5,5,4,2.4,3,1,2,3,3,3,4.2,5,5,3,5,3,4,4.33,5,3,5,5
English Toy Spaniel,"English Toy Spaniels are small and elegant dogs known for their gentle nature and affectionate demeanor. They are loyal and devoted companions, often forming strong bonds with their families.
",Small,Companion Dogs,10 to 11 inches tall at the shoulder,26.67,8 to 14 pounds,4.95,10 to 12 years,11,3,4,4,4,1,2,2,3.33,5,1,4,4,3.2,5,2,4,2,3,2,3.4,3,3,4,4,3,2,2.67,3,3,2,4
Entlebucher Mountain Dog,"Entlebucher Mountain Dogs are Swiss herding dogs known for their muscular build and energetic nature. They are loyal and protective companions, often forming strong bonds with their families.
",Very Large,Herding Dogs,16 to 20 inches tall at the shoulder,45.72,45 to 65 pounds,24.75,10 to 13 years,12,2.8,1,2,4,3,4,2,4.33,5,5,3,2,3,3,1,5,3,3,3,4,3,4,4,4,5,3,4.67,5,4,5,5
Estrela Mountain Dog,"Estrela Mountain Dogs are large and powerful livestock guardian dogs known for their imposing size and protective nature. They are loyal and devoted companions, often serving as guardians for their families.
",Very Large,Herding Dogs,24 to 30 inches,68.58,75 to 130 pounds,46.12,11 to 15 years,13,2.6,1,3,2,3,4,3,4.33,5,5,3,2,3.2,4,3,2,4,3,4,3,4,5,2,1,3,1,3,3,3,3,3
Eurasier,"Eurasiers are medium-sized dogs known for their distinctive wolf-like appearance and gentle demeanor. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Companion Dogs,20 to 24 Inches,55.88,40 to 71 lbs,24.98,12 to 14 years,13,2.8,4,3,2,1,4,3,4,3,5,4,2,3.2,4,3,3,4,2,4,2.6,4,4,2,1,2,1,2.67,3,2,3,3
Field Spaniel,"Field Spaniels are medium-sized hunting dogs known for their elegant appearance and friendly disposition. They are intelligent and energetic companions, often forming strong bonds with their families.
",Large,Sporting Dogs,16 inches to 19 inches tall at the shoulder,44.45,37 to 45 pounds,18.45,10 to 12 years,11,2.4,1,3,4,1,3,4,4.67,5,5,4,4,3,3,1,4,3,4,2,3.8,5,5,3,4,2,5,4.33,5,3,5,5
Fila Brasileiro,"Fila Brasileiros are large and powerful Brazilian mastiffs known for their imposing presence and protective nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Working Dogs,24 to 30 inches,68.58,90 to 180 pounds,60.75,9 to 12 years,10,2,1,1,3,3,2,3,2.67,3,3,2,1,3.2,2,3,4,3,4,5,3.4,2,4,3,5,3,3,4,4,4,4,2
Finnish Lapphund,"Finnish Lapphunds are Finnish herding dogs known for their thick coat and friendly demeanor. They are intelligent and loyal companions, often forming strong bonds with their families.
",Large,Herding Dogs,17 to 20 inches tall at the shoulder,46.99,33 to 53 pounds,19.35,12 to 15 years,14,3.8,4,4,4,2,5,2,5,5,5,5,4,3.2,3,1,4,4,4,3,4.2,5,5,4,4,3,4,4.67,5,5,4,5
Finnish Spitz,"Finnish Spitz are Finnish hunting dogs known for their distinctive bark and independent nature. They are loyal and energetic companions, often forming strong bonds with their families.
",Large,Sporting Dogs,15 to 20 inches tall at the shoulder,44.45,20 to 35 pounds,12.38,12 to 15 years,14,3,3,3,3,1,5,3,5,5,5,5,3,2.8,4,1,2,4,3,3,3.6,3,4,3,3,5,4,4.67,5,4,5,5
Flat-Coated Retriever,"Finnish Spitz are Finnish hunting dogs known for their distinctive bark and independent nature. They are loyal and energetic companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,22 inches to 24 inches tall at the shoulder,58.42,55 to 70 pounds,28.12,10 to 12 years,11,2.6,1,2,5,1,4,4,5,5,5,5,5,3.4,3,2,4,4,4,3,3.8,4,5,3,3,4,4,4.67,5,4,5,5
Fox Terrier,"Fox Terriers are small but energetic dogs known for their playful nature and keen intelligence. They are loyal and affectionate companions, often forming strong bonds with their families.
",Medium,Terrier Dogs,Up to 15 inches tall at the shoulder,38.1,15 to 19 pounds,7.65,10 to 15 years,12,3,3,3,3,3,3,4,3.67,4,4,3,3,2.2,2,1,2,4,2,2,4.2,5,5,3,5,3,3,5,5,5,5,5
French Bulldog,"French Bulldogs are small but sturdy dogs known for their distinctive bat ears and affectionate nature. They are playful and sociable companions, often forming strong bonds with their families.
",Medium,Companion Dogs,11 to 12 inches tall at the shoulder,29.21,16 to 28 pounds,9.9,11 to 14 years,12,3.2,5,5,3,1,2,1,4.33,5,4,4,4,3,3,1,5,2,4,2,3,4,3,3,2,3,2,3,3,4,2,5
French Bullhuahua,"French Bullhuahuas are a mix of French Bulldogs and Chihuahuas, combining the breeds' small size and playful personality. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,6 to 12 inches,22.86,10 to 30 pounds,9,10 to 15 years,12,2.8,4,3,3,2,2,4,3,4,3,2,3,3.6,3,2,4,4,5,1,3.4,3,3,4,3,4,2,3,3,3,3,4
French Spaniel,"French Spaniels are medium-sized hunting dogs known for their friendly demeanor and excellent retrieving skills. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,21 to 24 inches.,57.15,45 to 60 pounds.,23.62,10 to 12 years.,11,3.4,2,4,4,3,4,2,4.33,5,4,4,4,2.8,3,2,3,4,2,3,3,4,4,2,3,2,2,4,5,3,4,4
Frenchton,"Frenchtons are a mix of French Bulldogs and Boston Terriers, combining the breeds' playful nature and affectionate demeanor. They are energetic and sociable dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,11 to 14 inches,31.75,15 to 25 pounds,9,12 to 15 years,14,3.6,5,5,3,2,3,3,5,5,5,5,5,3.6,4,3,5,4,2,2,3,4,4,2,2,3,3,3,3,3,3,5
Frengle,"Frengles are a mix of French Bulldogs and Beagles, combining the breeds' playful personality and friendly nature. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,8 to 15 inches,29.21,18 to 30 pounds,10.8,10 to 15 years,12,3.4,4,4,4,3,2,2,4.67,5,5,4,4,3.4,3,1,5,4,4,3,3,3,4,3,3,2,3,3.67,4,3,4,5
German Longhaired Pointer,"German Longhaired Pointers are versatile German hunting dogs known for their elegant appearance and keen sense of smell. They are intelligent and loyal companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,23 to 28 inches,64.77,60 to 71 pounds,29.48,11 to 14 years,12,2.6,2,2,3,3,3,2,4.33,5,4,4,4,3.6,2,3,5,4,4,4,3.2,4,4,2,3,3,4,4.33,5,3,5,3
German Pinscher,"German Pinschers are medium-sized dogs known for their sleek appearance and spirited personality. They are intelligent and loyal companions, often forming strong bonds with their families.
",Large,Working Dogs,17 to 20 inches tall at the shoulder,46.99,25 to 45 pounds,15.75,12 to 14 years,13,3.2,3,3,4,3,3,4,3.33,5,3,2,2,3.2,3,1,5,4,3,3,4,4,5,3,5,3,4,4.33,5,3,5,5
German Shepherd Dog,"German Shepherd Dogs are versatile working dogs known for their intelligence and loyalty. They are confident and courageous companions, often serving as police dogs, service dogs, and family pets.
",Very Large,Herding Dogs,22 inches to 26 inches tall at the shoulder,60.96,75 to 95 pounds,38.25,10 to 14 years,12,3.2,3,2,5,2,4,3,4,5,5,2,4,3.4,5,1,5,4,2,4,4.6,5,5,5,4,4,2,5,5,5,5,5
German Shepherd Pit Bull,"German Shepherd Pit Bulls are a mix of German Shepherds and American Pit Bull Terriers, combining the breeds' intelligence and protective instincts. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,17 to 26 inches ,54.61,30 to 90 pounds ,27,10 to 12 years ,11,2,1,1,4,1,3,3,4.67,5,5,4,4,3.8,5,1,5,4,4,4,4.6,5,5,5,4,4,3,5,5,5,5,5
German Shepherd Rottweiler Mix,"German Shepherd Rottweiler Mixes are a mix of German Shepherds and Rottweilers, combining the breeds' loyalty and protective nature. They are intelligent and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,22 to 28 inches,63.5,75 to 115 pounds,42.75,9 to 13 years,11,3.4,3,4,3,3,4,2,3.67,4,4,3,3,3.6,5,3,3,3,4,4,3.2,3,4,3,3,3,2,3.67,4,3,4,4
German Sheprador,"German Shepradors are a mix of German Shepherds and Labrador Retrievers, combining the breeds' intelligence and loyalty. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,20 to 27 inches ,59.69,60 to 95 pounds ,34.88,10 to 12 years ,11,2.8,2,1,5,2,4,4,4.67,5,5,4,4,3.6,5,2,5,3,3,4,4,5,5,5,3,2,2,5,5,5,5,5
German Shorthaired Pointer,"German Shorthaired Pointers are versatile hunting dogs known for their athleticism and keen sense of smell. They are intelligent and energetic companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,21 inches to 25 inch tall at the shoulder,58.42,45 to 70 pounds,25.88,12 to 15 years,14,2,1,2,4,1,2,4,4.67,5,5,4,3,3,2,2,5,3,3,3,4.4,5,5,4,5,3,5,4.33,5,3,5,5
German Spitz,"German Spitzs are small and lively dogs known for their fluffy coat and friendly demeanor. They are intelligent and affectionate companions, often forming strong bonds with their families.
",Large,Companion Dogs,12 to 15 inches,34.29,21 to 29 pounds,11.25,13 to 15 years,14,3,4,2,3,3,3,2,4,5,4,3,3,3,4,1,2,4,4,1,3.8,2,4,4,5,4,2,4,5,3,4,4
German Wirehaired Pointer,"German Wirehaired Pointers are rugged and versatile hunting dogs known for their distinctive wiry coat and keen sense of smell. They are intelligent and loyal companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,22 inches to 26 inches tall at the shoulder,60.96,60 to 70 pounds,29.25,12 to 14 years,13,2.8,2,3,4,2,3,4,3.67,5,3,3,2,3,2,2,4,4,3,4,4,4,5,4,4,3,5,4.67,5,4,5,5
Giant Schnauzer,"Giant Schnauzers are powerful and imposing dogs known for their distinctive beard and eyebrows. They are intelligent and loyal companions, often forming strong bonds with their families.
",Very Large,Working Dogs,23 to 27 inches tall at the shoulder,63.5,55 to 80 pounds,30.38,10 to 12 years,11,2.4,1,1,4,2,4,2,3.67,5,3,3,2,2.8,4,1,2,4,3,4,4,5,4,3,4,4,4,4,5,2,5,5
Glen of Imaal Terrier,"Glens of Imaal Terriers are small but sturdy dogs known for their brave and spirited nature. They are loyal and affectionate companions, often forming strong bonds with their families.
",Large,Terrier Dogs,12 to 14 inches tall at the shoulder,33.02,Up to 35 pounds,15.75,12 to 15 years,14,3,4,2,3,3,3,4,4,5,5,2,3,3,1,1,5,5,3,1,4,4,4,3,5,4,3,4.33,4,5,4,4
Goberian,"Goberians are a mix of Golden Retrievers and Siberian Huskies, combining the breeds' intelligence and friendly nature. They are energetic and affectionate dogs, often forming strong bonds with their families.",Very Large,Mixed Breed Dogs,20 to 24 inches,55.88,45 to 90 pounds,30.38,10 to 15 years,12,2.6,1,2,3,2,5,2,4,4,4,4,2,3.2,2,1,5,4,4,4,3.2,2,5,3,4,2,4,4.67,5,4,5,4
